Mon Jun 29 03:35:14 2020 Epoch 1, lr: 0.0000300, train loss: 0.68620, val loss: 0.69695, acc: 22.72727, qwk: 0.06575
Mon Jun 29 04:19:09 2020 Epoch 1, lr: 0.0000300, train loss: 0.44394, val loss: 0.33334, acc: 43.03857, qwk: 0.72915
Mon Jun 29 05:02:34 2020 Epoch 2, lr: 0.0000840, train loss: 0.34195, val loss: 0.31367, acc: 35.55974, qwk: 0.76881
Mon Jun 29 05:46:05 2020 Epoch 3, lr: 0.0001380, train loss: 0.30918, val loss: 0.28289, acc: 48.91816, qwk: 0.80989
Mon Jun 29 06:30:13 2020 Epoch 4, lr: 0.0001920, train loss: 0.28878, val loss: 0.28089, acc: 59.97178, qwk: 0.82071
Mon Jun 29 07:13:48 2020 Epoch 5, lr: 0.0002460, train loss: 0.28039, val loss: 0.25924, acc: 54.18627, qwk: 0.83209
Mon Jun 29 07:57:25 2020 Epoch 6, lr: 0.0003000, train loss: 0.27483, val loss: 0.30228, acc: 48.25964, qwk: 0.80997
Mon Jun 29 08:41:03 2020 Epoch 7, lr: 0.0000300, train loss: 0.22586, val loss: 0.23030, acc: 60.30103, qwk: 0.85640
Mon Jun 29 09:24:36 2020 Epoch 8, lr: 0.0001964, train loss: 0.24017, val loss: 0.25546, acc: 53.80997, qwk: 0.83550
Mon Jun 29 10:08:09 2020 Epoch 9, lr: 0.0001036, train loss: 0.21277, val loss: 0.23860, acc: 61.75917, qwk: 0.84780
Mon Jun 29 10:51:48 2020 Epoch 10, lr: 0.0000286, train loss: 0.18884, val loss: 0.22712, acc: 61.75917, qwk: 0.85878
Mon Jun 29 12:06:03 2020 Epoch 1, lr: 0.0000030, train loss: 0.56670, val loss: 0.48417, acc: 22.48354, qwk: 0.41561
Mon Jun 29 12:49:40 2020 Epoch 2, lr: 0.0000084, train loss: 0.47738, val loss: 0.37627, acc: 30.47977, qwk: 0.62967
Mon Jun 29 13:33:12 2020 Epoch 3, lr: 0.0000138, train loss: 0.41670, val loss: 0.32521, acc: 38.75823, qwk: 0.74424
Mon Jun 29 14:16:46 2020 Epoch 4, lr: 0.0000192, train loss: 0.35101, val loss: 0.29995, acc: 53.19849, qwk: 0.79578
Mon Jun 29 15:00:22 2020 Epoch 5, lr: 0.0000246, train loss: 0.32038, val loss: 0.29909, acc: 51.26999, qwk: 0.79272
